n,t
0,7E-06
100,0.00023
200,0.000837
300,0.001758
400,0.003459
500,0.005691
600,0.008626
700,0.009581
800,0.013175
900,0.01517
1000,0.01837
1100,0.021784
1200,0.025903
1300,0.020134
1400,0.014737
1500,0.012492
1600,0.012394
1700,0.013498
1800,0.01582
1900,0.017218
2000,0.019678
2100,0.02158
2200,0.024173
2300,0.026272
2400,0.029191
2500,0.032092
2600,0.036249
2700,0.038562
2800,0.042792
2900,0.046802
3000,0.051304
3100,0.053442
3200,0.057968
3300,0.061594
3400,0.067504
3500,0.070051
3600,0.074525
3700,0.079942
3800,0.08654
3900,0.088771
4000,0.093905
4100,0.098447
4200,0.106583
4300,0.108422
4400,0.112797
4500,0.118581
4600,0.128213
4700,0.129433
4800,0.136148
4900,0.141153
5000,0.15249
5100,0.152755
5200,0.159327
5300,0.16699
5400,0.176986
5500,0.178786
5600,0.18792
5700,0.192851
5800,0.20585
5900,0.207329
6000,0.213262
6100,0.222704
6200,0.234933
6300,0.236827
6400,0.245251
6500,0.253248
6600,0.267788
6700,0.269155
6800,0.276687
6900,0.285791
7000,0.30312
7100,0.299951
7200,0.315922
7300,0.318815
7400,0.341578
7500,0.338817
7600,0.350207
7700,0.358345
7800,0.379429
7900,0.377761
8000,0.390996
8100,0.394567
8200,0.420314
8300,0.414861
8400,0.430682
8500,0.435662
8600,0.460121
8700,0.4569
8800,0.477668
8900,0.480009
9000,0.506681
9100,0.501192
9200,0.521514
9300,0.524983
9400,0.551862
9500,0.546364
9600,0.571198
9700,0.570789
9800,0.603234
9900,0.59494
10000,0.619231
10100,0.622232
10200,0.649639
10300,0.646156
10400,0.676875
10500,0.673651
10600,0.706862
10700,0.697081
10800,0.727055
10900,0.724109
11000,0.755337
11100,0.751508
11200,0.785236
11300,0.780493
11400,0.818698
11500,0.80748
11600,0.843611
11700,0.84081
11800,0.873154
11900,0.867888
12000,0.911064
12100,0.898912
12200,0.940494
12300,0.928637
12400,0.968481
12500,0.962037
12600,0.994676
12700,0.990533
12800,1.085174
12900,1.090881
13000,1.231317
13100,1.410902
13200,1.149137
13300,1.112415
13400,1.150955
13500,1.150092
13600,1.201343
13700,1.186016
13800,1.229577
13900,1.221047
14000,1.2679
14100,1.256113
14200,1.296728
14300,1.291686
14400,1.354746
14500,1.331119
14600,1.378773
14700,1.370781
14800,1.42354
14900,1.411375
15000,1.449565
15100,1.448412
15200,1.507826
15300,1.494031
15400,1.5356
15500,1.537323
15600,1.585049
15700,1.578103
15800,1.612876
15900,1.617933
16000,1.677444
16100,1.667221
16200,1.710147
16300,1.708135
16400,1.760865
16500,1.749244
16600,1.812508
16700,1.818016
16800,1.861525
16900,1.843498
17000,1.891605
17100,1.899486
17200,1.979098
17300,1.956727
17400,1.991757
17500,1.993164
17600,2.052289
17700,2.025732
17800,2.083263
17900,2.087463
18000,2.152979
18100,2.132945
18200,2.177173
18300,2.19634
18400,2.274811
18500,2.228062
18600,2.31577
18700,2.275461
18800,2.355301
18900,2.323143
19000,2.402685
19100,2.388248
19200,2.506416
19300,2.488782
19400,2.598763
19500,2.566555
19600,2.612311
19700,2.563257
19800,2.637348
19900,2.638029
