n,t
100,0.000241
200,0.000713
300,0.001573
400,0.003140
500,0.004562
600,0.007222
700,0.009259
800,0.006973
900,0.007327
1000,0.006324
1100,0.006038
1200,0.006793
1300,0.009406
1400,0.009796
1500,0.010737
1600,0.012561
1700,0.014217
1800,0.016184
1900,0.018408
2000,0.020828
2100,0.023164
2200,0.025378
2300,0.028009
2400,0.031388
2500,0.032720
2600,0.036539
2700,0.039608
2800,0.042199
2900,0.046484
3000,0.052280
3100,0.054067
3200,0.057787
3300,0.061344
3400,0.067037
3500,0.069705
3600,0.074426
3700,0.078501
3800,0.086970
3900,0.087159
4000,0.092793
4100,0.097226
4200,0.104758
4300,0.109353
4400,0.112998
4500,0.119722
4600,0.127331
4700,0.131350
4800,0.137413
4900,0.142174
5000,0.152271
5100,0.155644
5200,0.162369
5300,0.169445
5400,0.181372
5500,0.181544
5600,0.190220
5700,0.213179
5800,0.234108
5900,0.211959
6000,0.237928
6100,0.226456
6200,0.238892
6300,0.240170
6400,0.248424
6500,0.256907
6600,0.327003
6700,0.302783
6800,0.363288
6900,0.310805
7000,0.318406
7100,0.307171
7200,0.326832
7300,0.340858
7400,0.347461
7500,0.345379
7600,0.364255
7700,0.372337
7800,0.394224
7900,0.379994
8000,0.396808
8100,0.399777
8200,0.426174
8300,0.421469
8400,0.440911
8500,0.444109
8600,0.468246
8700,0.464916
8800,0.483952
8900,0.492104
9000,0.516778
9100,0.540876
9200,0.530992
9300,0.559773
9400,0.562160
9500,0.562167
9600,0.605276
9700,0.582550
9800,0.629191
9900,0.626754
10000,0.644650
10100,0.638306
10200,0.664544
10300,0.694358
10400,0.708755
10500,0.694262
10600,0.728711
10700,0.718117
10800,0.763612
10900,0.772314
11000,0.790101
11100,0.807794
11200,0.833629
11300,0.835305
11400,0.886418
11500,0.838075
11600,0.917410
11700,0.905973
11800,0.917988
11900,0.945258
12000,0.947834
12100,0.966009
12200,1.056488
12300,1.112669
12400,1.017983
12500,1.049539
12600,1.119476
12700,1.053250
12800,1.193982
12900,1.114890
13000,1.218462
13100,1.252091
13200,1.224907
13300,1.269124
13400,1.341325
13500,1.193362
13600,1.250764
13700,1.232511
13800,1.332453
13900,1.333392
14000,1.390777
14100,1.387869
14200,1.420863
14300,1.415375
14400,1.465427
14500,1.398894
14600,1.436971
14700,1.508585
14800,1.482739
14900,1.487797
15000,1.527807
15100,1.532608
15200,1.627522
15300,1.602161
15400,1.676361
15500,1.632656
15600,1.707122
15700,1.700068
15800,1.730967
15900,1.905918
16000,2.142492
16100,2.072477
16200,1.955313
16300,1.891517
16400,1.978464
16500,2.064232
16600,2.105343
16700,2.033517
16800,2.092537
16900,1.967935
17000,2.112982
17100,2.267850
17200,2.256057
17300,2.345572
17400,2.197809
17500,2.325999
17600,2.484859
17700,2.552039
17800,2.547317
17900,2.318177
18000,2.286864
18100,2.278816
18200,2.313473
18300,2.520384
18400,2.460085
18500,2.393083
18600,2.544622
18700,2.549820
18800,2.855494
18900,3.033600
19000,2.969415
19100,3.006373
19200,3.570399
19300,3.315683
19400,2.837570
19500,2.900353
19600,3.102271
19700,2.901619
19800,2.893375
19900,2.825578
20000,3.311405
